State,Ranking,School Quality,Student Safety,Student Success
New Jersey,1,5,2,4
New Hampshire,2,3,7,3
Connecticut,3,1,16,2
Vermont,4,4,5,8
Massachusetts,5,6,13,1
New York,6,2,22,13
Maine,7,11,3,6
Colorado,8,21,1,10
Pennsylvania,9,8,15,12
Virginia,10,13,12,7
Delaware,11,9,8,16
Maryland,12,10,29,5
Washington,13,23,26,9
Wyoming,14,15,14,24
Minnesota,15,22,19,15
Iowa,16,18,23,17
South Dakota,17,27,6,22
Ohio,18,12,4,39
Wisconsin,19,17,18,25
Illinois,20,14,41,11
Nebraska,21,16,17,33
Rhode Island,22,7,46,18
Indiana,23,19,37,20
Oregon,24,35,24,21
North Dakota,25,31,11,29
Missouri,26,20,35,32
Montana,27,32,28,28
Kansas,28,30,31,27
Michigan,29,37,39,19
Kentucky,30,26,30,36
Georgia,31,25,34,38
Arkansas,32,24,40,34
Idaho,33,45,20,26
West Virginia,34,29,32,37
Alaska,35,39,36,30
Hawaii,36,34,42,31
Utah,37,48,21,23
Texas,38,38,25,46
Mississippi,39,41,9,50
California,40,36,49,14
Tennessee,41,33,38,43
Florida,42,43,27,42
North Carolina,43,40,43,35
Oklahoma,44,47,10,48
South Carolina,45,28,47,40
Alabama,46,44,33,47
New Mexico,47,42,44,41
Nevada,48,46,50,45
Louisiana,49,49,48,49
Arizona,50,50,45,44
