State,Harris
Alabama,0.342
Alaska,0.411
Arizona,0.467
Arkansas,0.335
California,0.588
Colorado,0.542
Connecticut,0.564
Delaware,0.566
Florida,0.430
Georgia,0.485
Hawaii,0.606
Idaho,0.304
Illinois,0.546
Indiana,0.397
Iowa,0.427
Kansas,0.410
Kentucky,0.339
Louisiana,0.382
Maine,0.521
Maryland,0.624
Massachusetts,0.613
Michigan,0.483
Minnesota,0.511
Mississippi,0.373
Missouri,0.401
Montana,0.385
Nebraska,0.389
Nevada,0.475
New Hampshire,0.509
New Jersey,0.519
New Mexico,0.519
New York,0.559
North Carolina,0.478
North Dakota,0.308
Ohio,0.439
Oklahoma,0.319
Oregon,0.556
Pennsylvania,0.486
Rhode Island,0.557
South Carolina,0.404
South Dakota,0.342
Tennessee,0.345
Texas,0.424
Utah,0.379
Vermont,0.644
Virginia,0.518
Washington,0.578
West Virginia,0.281
Wisconsin,0.488
Wyoming,0.261
