State,Legal Status,Medicinal,Decriminalized
Alabama,Mixed,Yes,No
Alaska,Fully Legal,Yes,Yes
Arizona,Fully Legal,Yes,Yes
Arkansas,Mixed,Yes,No
California,Fully Legal,Yes,Yes
Colorado,Fully Legal,Yes,Yes
Connecticut,Fully Legal,Yes,Yes
Delaware,Fully Legal,Yes,Yes
Florida,Mixed,Yes,No
Georgia,Mixed,CBD Oil Only,No
Hawaii,Mixed,Yes,Yes
Idaho,Fully Illegal,No,No
Illinois,Fully Legal,Yes,Yes
Indiana,Mixed,CBD Oil Only,No
Iowa,Mixed,CBD Oil Only,No
Kansas,Fully Illegal,No,No
Kentucky,Mixed,CBD Oil Only*,No
Louisiana,Mixed,Yes,Yes
Maine,Fully Legal,Yes,Yes
Maryland,Fully Legal,Yes,Yes
Massachusetts,Fully Legal,Yes,Yes
Michigan,Fully Legal,Yes,Yes
Minnesota,Fully Legal,Yes,Yes
Mississippi,Mixed,Yes,Yes
Missouri,Fully Legal,Yes,Yes
Montana,Fully Legal,Yes,Yes
Nebraska,Fully Illegal,No,Yes
Nevada,Fully Legal,Yes,Yes
New Hampshire,Mixed,Yes,Yes
New Jersey,Fully Legal,Yes,Yes
New Mexico,Fully Legal,Yes,Yes
New York,Fully Legal,Yes,Yes
North Carolina,Fully Illegal,No,Yes
North Dakota,Mixed,Yes,Yes
Ohio,Fully Legal,Yes,Yes
Oklahoma,Mixed,Yes,No
Oregon,Fully Legal,Yes,Yes
Pennsylvania,Mixed,Yes,No
Rhode Island,Fully Legal,Yes,Yes
South Carolina,Fully Illegal,No,No
South Dakota,Mixed,Yes,No
Tennessee,Mixed,CBD Oil Only,No
Texas,Mixed,CBD Oil Only,No
Utah,Mixed,Yes,No
Vermont,Fully Legal,Yes,Yes
Virginia,Fully Legal,Yes,Yes
Washington,Fully Legal,Yes,Yes
West Virginia,Mixed,Yes,No
Wisconsin,Mixed,CBD Oil Only,No
Wyoming,Fully Illegal,No,No
